MLS,sold_price,zipcode,longitude,latitude,lot_acres,taxes,year_built,bedrooms,bathrooms,sqrt_ft,garage,kitchen_features,fireplaces,floor_covering,HOA
21204384,552500.0,85750,-110.840136,32.283039,1.61,3792.96,1985,3,2.0,2348.0,2.0,5,1.0,4,45.0
21126261,555000.0,85737,-110.968239,32.405966,0.38,5401.73,2006,4,3.0,3420.0,3.0,5,3.0,2,45.0
21201685,532000.0,85749,-110.74369,32.251775,0.83,4780.0,2006,5,5.0,3739.0,3.0,4,2.0,1,45.0
21218525,525000.0,85716,-110.925612,32.228009,0.62,6495.64,1962,4,3.0,3949.0,2.0,5,2.0,3,45.0
21213752,490000.0,85658,-111.075867,32.455967,0.23,3080.69,2002,3,2.0,2020.0,2.0,5,1.0,2,45.0
21706468,535000.0,85739,-110.859221,32.550382,0.48,5184.0,2006,3,4.0,3651.0,3.0,5,1.0,1,45.0
21224230,560000.0,85749,-110.775232,32.277922,3.1,10180.0,2007,4,4.0,5621.0,4.0,5,1.0,2,45.0
21318726,552500.0,85750,-110.816836,32.289055,1.04,6579.91,1990,4,3.0,3543.0,2.0,5,1.0,2,45.0
21323933,565000.0,85750,-110.873989,32.325761,0.42,4830.0,1993,4,4.0,3069.0,2.0,4,1.0,2,45.0
21707767,538400.0,85750,-110.817418,32.289378,0.81,6014.06,1993,5,5.0,3825.0,2.0,5,1.0,2,45.0
21628356,540000.0,85748,-110.73056,32.221415,4.12,3280.84,1962,3,3.0,2672.0,6.0,5,1.0,3,45.0
21707603,550000.0,85750,-110.873119,32.323406,0.8,6390.03,1994,5,4.0,3368.0,3.0,4,1.0,3,45.0
21718066,555000.0,85750,-110.865303,32.283321,1.15,5400.0,1986,4,3.0,3082.0,2.0,8,2.0,2,45.0
21727392,542000.0,85742,-111.06609,32.389116,3.31,4720.0,2007,4,3.0,3208.0,3.0,7,1.0,1,45.0
21808242,565000.0,85745,-111.04409,32.213043,0.54,5549.85,2002,3,4.0,3002.0,3.0,10,1.0,3,45.0
